prenom,n_f,n_m
AZALEEA,5,0
AZALIA,45,0
AZALIE,10,0
AZALYA,40,0
AZALYNE,5,0
AZALYS,10,0
AZAM,0,70
AZAN,0,80
AZANIA,30,0
AZAR,0,70
AZARIA,85,45
AZARIAH,15,30
AZARIEL,0,5
AZARYAH,0,15
AZAT,0,130
AZDDINE,0,20
AZDIN,0,110
AZDINE,0,845
AZEDDINE,0,270
AZEDIN,0,20
AZEDINE,0,845
AZEDINNE,0,5
AZEEM,0,5
AZEEMAT,5,0
AZEL,210,150
AZELE,40,0
AZELI,5,0
AZELIA,275,0
AZELICE,5,0
AZELIE,1110,0
AZELINA,5,0
AZELINE,940,0
AZELIO,0,50
AZELLE,95,0
AZELY,25,0
AZELYA,235,0
AZELYS,85,0
AZEM,5,50
AZEMA,75,0
AZEMIA,25,0
AZEMIE,5,0
AZENOR,425,0
AZENORA,5,0
AZER,0,175
AZHAAN,0,5
AZHAR,10,120
AZIA,75,0
AZID,0,10
AZIDINE,0,15
AZIEL,10,75
AZIELLE,5,0
AZILIS,690,0
AZILISE,10,0
AZILIZ,1145,0
AZILYS,590,0
AZIM,0,125
AZIME,20,0
AZIOUZ,0,5
AZIR,0,45
AZIS,0,5
AZIYADE,5,0
AZIZ,0,4020
AZIZ-URAS,0,5
AZIZA,2065,0
AZIZAH,15,0
AZIZE,5,320
AZJARGAL,0,5
AZKA,5,0
AZLAAN,0,30
AZLAN,0,110
AZMINA,5,0
AZMIYA,5,0
AZNA,5,0
AZORA,20,0
AZOU,65,0
AZOUAOU,0,5
AZOUZ,0,80
AZRA,2275,0
AZRA-NUR,15,0
AZRAEL,0,35
AZRAH,15,0
AZRAK,0,5
AZRANUR,20,0
AZRAQ,0,5
AZRIEL,0,75
AZUCENA,125,0
AZUL,5,0
AZUMI,5,0
AZUR,75,210
AZURA,30,0
AZURE,35,0
AZUZENA,10,0
AZWA,5,0
AZWAW,0,10
AZYLIS,235,0
AZZA,65,0
AZZADINE,0,5
AZZAM,0,100
AZZARO,0,40
AZZDINE,0,50
AZZEDDINE,0,245
AZZEDINE,0,1490
AZZIO,0,5
AZZIZ,0,230
AZZIZA,55,0
AZZIZE,0,5
AZZOUZ,0,40
AZZURA,120,0
AZZURRA,170,0
BA,0,35
BABA,0,480
BABACAR,0,640
BABETH,30,0
BABETTE,340,0
BABOU,5,10
BABY,0,5
BABYLAS,80,200
BACAR,0,35
BACARY,0,95
BACEM,0,20
BACH,5,0
BACHAR,0,20
BACHIR,0,2480
BACHIRA,15,0
BACHIROU,0,15
BACHRA,40,0
BACIROU,0,5
BACO,0,5
BACOUTOUBO,0,5
BADAOUI,0,5
BADAR,0,20
BADARA,0,60
BADEMBO,0,5
BADER,0,455
BADI,0,35
BADIA,285,0
BADIAA,65,0
BADIALLO,45,0
BADICE,0,45
BADIE,0,5
BADIHA,10,0
BADIOUGOU,0,5
BADIR,0,5
BADIS,0,2180
BADISS,0,115
BADISSE,0,25
BADR,0,1590
BADR-EDDINE,0,145
BADR-EDINE,0,5
BADRA,400,65
BADRA-ALI,0,10
BADRA-ALY,0,5
BADRADINE,0,15
BADRDINE,0,5
BADRE,0,465
BADRE-DINE,0,5
BADREDDINE,0,320
BADREDINE,0,245
BADRI,0,10
BADRIA,35,0
BADROUDINE,0,10
BADYS,0,120
BADYSS,0,50
BADYSSE,0,5
BAFODE,0,565
BAGDAD,0,65
BAGDADI,0,5
BAGGIO,0,5
BAGHDAD,0,10
BAH,0,20
BAHA,5,20
BAHAA,5,0
BAHADIR,0,10
BAHAR,385,0
BAHASSANE,0,5
BAHATI,210,0
BAHATTIN,0,10
BAHI,0,5
BAHIA,995,0
BAHIDJA,5,0
BAHIJA,310,0
BAHIYA,85,0
BAHOZ,0,60
BAHRI,0,85
BAHTA,5,0
BAHYA,75,0
BAIA,165,0
BAIDI,0,5
BAIDIR,0,10
BAIDY,0,135
BAILA,5,10
BAILEY,10,5
BAILO,0,5
BAIRAM,0,5
BAISSANGOUR,0,5
BAJRAM,0,45
BAKAI,0,5
BAKAR,0,5
BAKARI,0,395
BAKARY,0,1830
BAKASSO,0,35
BAKAYE,0,10
BAKEBA,0,5
BAKHTA,275,0
BAKI,0,110
BAKIR,0,10
BAKOU,0,10
BAKOUTOUBO,0,80
BAKR,0,25
BAKRI,0,10
BAKTA,50,0
BAKUR,0,5
BALA,0,55
BALAKISSA,5,0
BALAL,0,5
BALAM,0,5
BALAMINE,0,90
BALBINA,30,0
BALBINE,100,0
BALDASSARE,0,10
BALDOMERO,0,15
BALIAN,0,130
BALIGH,0,30
BALIK,0,5
BALKIS,385,0
BALKISS,45,0
BALKISSA,5,0
BALKISSE,5,0
BALKYS,5,0
BALLA,0,335
BALQEES,10,0
BALQIS,300,0
BALQISS,10,0
BALQUIS,5,0
BALTASAR,0,5
BALTAZAR,0,45
BALTHASAR,0,5
BALTHAZAR,0,2420
BALTHAZARD,0,25
BALTHIDE,5,0
BALTHUS,0,25
BAMBA,15,150
BAMBI,190,0
BAMBINA,15,0
BAMBO,0,250
BAMBOU,90,0
BAMBY,235,0
BAMODY,0,5
BAMORY,0,10
BAMOUSSA,0,5
BAN,0,5
BANA,85,5
BANDIOUGOU,0,305
BANDJOUGOU,0,110
BANEL,10,0
BANFA,0,90
BANGALI,0,20
BANGALY,0,235
BANI,0,5
BANJOUGOU,0,5
BANNA,15,0
BANO,40,5
BANTA,0,35
BANU,35,0
BAO,100,205
BAPTIST,0,115
BAPTISTE,10,108080
BAPTISTIN,0,1620
BAPTISTINE,4170,0
BAPTYSTE,0,15
BARA,0,90
BARA'A,5,0
BARAA,135,95
BARAAH,5,0
BARACK,0,55
BARAE,0,55
BARAKA,110,10
BARAKISSA,20,0
BARAN,5,750
BARBARA,26200,0
BARBARE,20,0
BARBARELLA,5,0
BARBE,2620,415
BARBERINE,205,0
BARBIN,0,5
BARDED,0,5
BAREK,0,5
BARI,0,5
BARINE,5,0
BARIS,0,515
BARISA,35,0
BARIZA,100,0
BARKA,170,10
BARKAHOUM,5,0
BARLAS,0,10
BARNABE,85,1855
BARNABEE,30,0
BAROU,0,10
BAROUDI,0,25
BAROUKH,0,5
BARRATOU,5,0
BARRY,0,165
BART,0,30
BARTA,75,0
BARTH,0,5
BARTHA,35,0
BARTHELEM,0,5
BARTHELEMI,0,105
BARTHELEMY,185,7450
BARTHOLOME,0,245
BARTIMEE,0,50
BARTLOMIEJ,0,15
BARTOLOME,0,130
BARTOLOMEO,0,40
BARTOSZ,0,50
BARUCH,0,5
BARY,0,5
BARZAN,0,5
BASAK,45,0
BASEKHOU,0,5
BASEKOU,0,50
BASELIE,5,0
BASEM,0,10
BASHIR,0,20
BASIA,10,0
BASIL,0,585
BASILE,165,19185
BASILIA,120,0
BASILIDE,15,10
BASILIE,20,0
BASILIEN,0,5
BASILINE,10,0
BASILIO,0,95
BASILISA,5,0
BASIM,0,5
BASIROU,0,5
BASKIM,0,5
BASMA,2195,0
BASMALA,125,0
BASMALLAH,5,0
BASRI,0,5
BASSA,60,0
BASSAM,0,200
BASSEKHOU,0,10
BASSEKOU,0,70
BASSEL,0,75
BASSEM,0,405
BASSIL,0,35
BASSILE,0,5
BASSIM,0,105
BASSIR,0,5
BASSIRA,5,0
BASSIROU,0,260
BASSMA,310,0
BASSMALA,5,0
BASTIAAN,0,15
BASTIAN,0,2665
BASTIANN,0,25
BASTIANO,0,15
BASTIDE,0,5
BASTIEN,0,56285
BASTIENNE,110,0
BASTYAN,0,5
BASTYEN,0,5
BATCHEVA,20,0
BATHILDE,560,15
BATHISTE,0,10
BATIA,50,0
BATIKAN,0,5
BATIN,0,5
BATIS,0,10
BATIST,0,50
BATISTA,0,35
BATISTE,0,1795
BATISTIN,0,10
BATOOL,10,0
BATOUL,250,0
BATOULE,15,0
BATOULI,5,0
BATOULY,5,0
BATOURA,0,90
BATOUROU,5,0
BATSHEVA,30,0
BATTAL,0,10
BATTISTA,0,40
BATTISTE,0,55
BATTISTU,0,65
BATTIT,0,5
BATUHAN,0,415
BATYA,90,0
BATYST,0,5
BATYSTE,0,30
BAUDOIN,0,370
BAUDOUIN,0,1505
BAUDRY,0,5
BAUDUIN,0,5
BAUTISTA,0,10
BAWER,0,15
BAYA,2225,0
BAYAH,5,0
BAYAN,285,55
BAYANE,675,25
BAYARD,0,25
BAYAZID,0,55
BAYBARS,0,10
BAYDIR,0,10
BAYE,0,65
BAYEN,120,0
BAYENE,130,0
BAYENNE,25,0
BAYEZID,0,20
BAYINA,5,0
BAYKAL,0,5
BAYLASSANE,5,0
BAYO,0,5
BAYRAM,0,620
BAYREM,0,225
BAYRON,0,350
BAYRONE,0,10
BAYRONN,0,5
BAYSANGOUR,0,10
BAYSANGUR,0,20
BAYYINA,5,0
BAYYINAH,10,0
BAZIL,0,240
BAZILE,10,345
BAZOUMANA,0,10
BEA,30,0
BEATE,5,0
BEATRICE,131660,10
BEATRIS,55,0
BEATRIX,3150,5
BEATRIZ,945,0
BEAU,0,5
BEAUDOIN,0,5
BEAUTY,5,0
BEBETO,0,5
BECHIR,0,735
BECKHAM,0,5
BECKY,25,0
BEDDY,0,5
BEDE,0,5
BEDIA,45,0
BEDIR,0,30
BEDIRHAN,0,215
BEDIS,0,25
BEDRA,10,0
BEDRAN,0,10
BEDROS,0,25
BEGONA,90,0
BEGONIA,70,0
BEGUM,20,0
BEHIJA,5,0
BEHIYE,15,0
BEHRAM,0,10
BEHZAD,0,5
BEIJA,5,0
BEILA,65,0
BEJNA,55,0
BEKAYE,0,10
BEKHTA,10,0
BEKIM,0,20
BEKIR,0,390
BEKKAYE,0,10
BEKTAS,0,5
BEL,0,40
BELA,75,20
BELAID,0,395
BELAL,0,85
BELARMINO,0,10
BELEL,0,15
BELEM,5,5
BELEN,170,0
BELFIN,20,0
BELGACEM,0,285
BELGIN,85,0
BELHADJ,0,15
BELHASSEN,0,5
BELIEVE,45,15
BELIGH,0,5
BELINA,50,0
BELINAY,635,0
BELINDA,3895,0
BELINE,95,0
BELISAIRE,0,20
BELIZ,15,0
BELKACEM,0,1835
BELKACEN,0,5
BELKACIM,0,5
BELKASSEM,0,5
BELKHEIR,0,15
BELKIS,230,0
BELKISS,35,0
BELKISSE,5,0
BELKIZ,5,0
BELKYS,10,0
BELLA,2020,0
BELLA-ROSE,5,0
BELLAL,0,50
BELLAMY,0,25
BELLE,65,0
BELLINA,10,0
BELLINDA,160,0
BELLINE,5,0
BELLONY,0,5
BELLY,10,5
BELMA,95,0
BELMEL,0,5
BELMIN,0,20
BELMIRA,40,0
BELMIRO,0,30
BELONI,0,10
BELONIE,5,0
BELQIS,110,0
BELQISS,5,0
BELSEM,25,0
BELYNDA,90,0
BEMA,0,10
BEMBA,0,55
BEN,5,3330
BEN-ALI,0,30
BEN-AMINE,0,20
BEN-DJADID,0,15
BEN-DJADIDE,0,5
BEN-MALIK,0,10
BEN-OMAR,0,5
BEN-YAMIN,0,5
BEN-YAMINE,0,55
BEN-YASSINE,0,10
BEN-YOUSSOUF,0,5
BENAIM,0,5
BENAISSA,0,155
BENALI,0,185
BENAMAR,0,455
BENAMINE,0,5
BENAOUDA,0,70
BENAT,0,160
BENAYA,0,5
BENDEHIBA,0,5
BENDJI,0,45
BENDJY,0,10
BENEDETTA,50,0
BENEDETTO,0,110
BENEDICT,50,340
BENEDICTA,20,0
BENEDICTE,34980,0
BENEDIKT,0,5
BENEDIKTE,15,0
BENEDITA,90,0
BENEDITE,80,0
BENEDITH,5,0
BENETT,0,5
BENGISU,5,0
BENGY,0,5
BENI,0,250
BENIAMIN,0,65
BENIAMINO,0,20
BENICIA,5,0
BENICIO,0,175
BENIE,75,0
BENIGNE,5,35
BENIGNO,0,15
BENILDE,20,20
BENIS,0,10
BENITA,180,0
BENITO,0,500
BENJAMIM,0,15
BENJAMIN,115,152530
BENJAMINE,845,0
BENJAMYN,0,25
BENJI,0,425
BENJY,0,300
BENNACEUR,0,5
BENNETT,0,5
BENNIE,5,0
BENNY,10,140
BENOIST,0,1225
BENOIT,140,126595
BENOIT-ALEXANDRE,0,5
BENOIT-JOSEPH,0,115
BENOIT-MARIE,0,10
BENOIT-PIERRE,0,10
BENOIT-XAVIER,0,5
BENOITE,1865,0
BENON,0,5
BENONI,0,395
BENONIE,5,0
BENONY,0,5
BENSLEY,0,5
BENSON,0,30
BENTLEY,0,50
BENTO,0,5
BENTSION,0,5
BENTY,5,0
BENVENUTA,5,0
BENY,0,50
BENYAHIA,0,5
BENYAMIN,0,210
BENYAMINE,0,135
BENYOUCEF,0,20
BENYOUNES,0,5
BERA,0,10
BERAAT,0,5
BERAN,0,20
BERANGE,0,15
BERANGER,0,645
BERANGERE,7655,0
BERARD,0,130
BERAT,0,1665
BERCEM,30,0
BERDAN,0,100
BEREKIA,5,0
BEREN,205,25
BERENGER,0,1125
BERENGERE,8730,0
BERENICE,11755,0
BERENYCE,20,0
BERFIN,510,0
BERFINE,45,0
BERGAMOTE,15,0
BERGAMOTTE,5,0
BERHAN,0,10
BERHAT,0,5
BERIA,10,0
BERIL,105,0
BERIN,30,0
BERINA,5,0
BERITAN,130,15
BERIVAN,275,0
BERIVANE,5,0
BERIZA,15,0
BERKAN,0,290
BERKANT,0,105
BERKAY,0,295
BERKE,0,15
BERKEN,0,10
BERKIN,0,40
BERLINE,15,0
BERLIOZ,0,5
BERNA,75,0
BERNABE,0,140
BERNADE,5,0
BERNADETE,10,0
BERNADETTE,141455,0
BERNADETTE-MARIE,10,0
BERNADIN,5,335
BERNADINE,700,0
BERNADO,0,5
BERNARD,60,469240
BERNARD-MARIE,0,20
BERNARD-MICHEL,0,5
BERNARD-PIERRE,0,5
BERNARDA,5,0
BERNARDE,45,0
BERNARDETE,10,0
BERNARDETTE,115,0
BERNARDIN,0,790
BERNARDINE,1360,0
BERNARDINO,0,125
BERNARDO,0,465
BERND,0,50
BERNERETTE,5,0
BERNHARD,0,110
BERNICE,120,0
BERNIE,0,25
BERNUS,0,10
BERNY,0,5
BEROURIA,5,0
BERRA,95,0
BERRIN,40,0
BERRY,10,5
BERSAN,0,5
BERTA,65,0
BERTAN,0,45
BERTAUD,0,5
BERTE,5,75
BERTHA,1975,0
BERTHAUD,0,5
BERTHE,70600,170
BERTHEA,10,0
BERTHELINE,5,0
BERTHIER,0,10
BERTHILDE,275,0
BERTHILE,170,0
BERTHILIE,15,0
BERTHILLE,155,0
BERTHIN,0,120
BERTHINA,10,0
BERTHINE,30,0
BERTHO,0,30
BERTHOLD,0,90
BERTHY,0,60
BERTIE,0,15
BERTIL,0,165
BERTILDE,5,0
BERTILE,180,0
BERTILLE,5850,5
BERTIN,40,1875
BERTINA,125,0
BERTINE,185,0
BERTO,0,5
BERTON,0,15
BERTRAM,0,5
BERTRAN,0,10
BERTRAND,10,67365
BERTRANDE,415,0
BERTRANE,15,0
BERTRICE,5,0
BERTY,10,165
BERVAN,0,5
BERYL,1035,225
BERYLE,25,0
BERZAN,0,120
BESIAN,0,5
BESIM,0,5
BESIR,0,5
BESMA,665,0
BESMALA,10,0
BESNIK,0,5
BESS,5,0
BESSAM,0,5
BESSEM,0,80
BESSIE,10,0
BESSMA,90,0
BESSY,5,0
BEST,0,10
BESTE,5,0
BETANIA,10,0
BETANIE,25,0
BETH,15,0
BETHANIE,145,0
BETHANY,90,0
BETHEL,45,0
BETHLEEM,0,15
BETHSABEE,120,0
BETHY,25,0
BETI,5,0
BETICIA,5,0
BETINA,240,0
BETOUL,5,0
BETSALEEL,0,5
BETSALEL,0,150
BETSY,280,0
BETTAN,0,15
BETTI,5,5
BETTIE,95,0
BETTINA,2895,0
BETTINO,0,5
BETTY,14920,0
BETTY-LOU,55,0
BETTYLOU,5,0
BETTYNA,75,0
BETUL,1035,0
BETY,10,0
BEVERLEY,245,0
BEVERLIE,15,0
BEVERLLY,5,0
BEVERLY,1195,0
BEYA,510,0
BEYANE,5,0
BEYAZID,0,10
BEYDA,25,0
BEYEN,20,0
BEYENE,25,0
BEYHAN,15,5
BEYONCE,65,0
BEYRAM,0,15
BEYTULLAH,0,140
BEYZA,1020,0
BEYZA-NUR,50,0
BEYZANUR,100,0
BHAVANI,5,0
BI,0,70
BIA,20,0
BIAGGIO,0,10
BIAGIA,5,0
BIAGIO,0,90
BIAGUI,0,5
BIANCA,3620,0
BIANCKA,5,0
BIANKA,90,0
BIATRIZ,65,0
BIBA,15,0
BIBATA,5,0
BIBI,340,0
BIBIANE,225,5
BICE,10,0
BICENTE,0,20
BICH,40,0
BICHOY,0,5
BIDIA,95,0
BIDJA,10,0
BIEL,0,20
BIEN,0,5
BIEN-AIME,0,35
BIENAIME,0,390
BIENAIMEE,5,0
BIENBENIDO,0,10
BIENHEUREUSE,5,0
BIENVENIDA,10,0
BIENVENIDO,0,20
BIENVENU,0,290
BIENVENUE,60,0
BIGUE,5,0
BIHLEL,0,5
BIJAN,0,5
BIJOU,5,0
BILAIL,0,50
BILAL,0,15555
BILALE,0,190
BILALI,0,65
BILALY,0,155
BILANE,5,0
BILAWAL,0,5
BILEIL,0,10
BILEL,0,7190
BILELE,0,85
BILELL,0,10
BILEN,0,5
BILGE,80,0
BILGEHAN,5,0
BILHAL,0,30
BILHEL,0,10
BILI,0,15
BILITIS,170,0
BILITYS,5,0
BILJANA,180,0
BILKIS,35,0
BILKISS,10,0
BILKISSE,5,0
BILL,0,105
BILLAH,5,0
BILLAL,0,1850
BILLALE,0,45
BILLALY,0,5
BILLEL,0,1205
BILLELE,0,25
BILLI,0,5
BILLIE,3255,15
BILLIE-ROSE,20,0
BILLITIS,5,0
BILLO,0,5
BILLY,50,2820
BILONDA,5,0
BILQIS,35,0
BILY,0,15
BILYANA,5,0
BINE,15,0
BINETA,295,0
BINETOU,30,0
BINJAMIN,0,20
BINNAZ,5,0
BINNUR,5,0
BINTA,1795,0
BINTI,80,0
BINTIA,5,0
BINTOU,3155,0
BINTY,10,0
BINYAMIN,0,115
BINYAMINE,0,15
BIRAHIM,0,20
BIRAHIMA,0,25
BIRAMA,0,50
BIRAME,0,30
BIRAMOU,0,5
BIRANE,0,70
BIRANTE,0,5
BIRCAN,35,0
BIRDY,10,0
BIRGIT,15,0
BIRGUL,75,0
BIRKAN,0,40
BIROL,0,60
BIRSEL,10,0
BIRSEN,45,0
BISER,0,5
BISMA,35,0
BISMAH,10,0
BISSAN,45,0
BISSANE,80,0
BISSEN,20,0
BISSENE,10,0
BITANYA,20,0
BITIA,5,0
BITOU,20,0
BIXENTE,0,900
BIXINTXO,0,5
BIYA,5,0
BIYAGUI,0,20
BJORN,0,615
BLAIR,5,0
BLAISE,395,4310
BLAISINE,90,0
BLAIZE,0,5
BLAKE,25,45
BLANCA,175,0
BLANCHARD,10,105
BLANCHE,40635,60
BLANCHE-MARIE,10,0
BLANCHETTE,65,0
BLANDIN,0,5
BLANDINA,5,0
BLANDINE,27930,0
BLANKA,25,0
BLAS,0,120
BLAYKE,5,0
BLEART,0,5
BLEDION,0,5
BLEN,5,0
BLEND,0,5
BLEON,0,15
BLEONA,20,0
BLERIM,0,10
BLERINA,10,0
BLERON,0,5
BLERONA,5,0
BLERTA,5,0
BLESS,5,0
BLESSED,0,40
BLESSING,390,100
BLEUEN,35,0
BLEUENE,5,0
BLEUENN,1735,0
BLEUETTE,750,0
BLEUNVENN,15,0
BLEUWENN,15,0
BLEUZENN,10,0
BLIA,5,0
BLIN,0,25
BLINA,10,0
BLISS,10,0
BLON,0,5
BLONDIE,10,0
BLONDINE,260,0
BLONG,0,5
BLOOM,55,0
BLOUMA,20,0
BLUE,210,10
BLUENN,50,0
BLUETTE,380,0
BLUM,5,0
BLUMA,95,0
BO,15,10
BOALEM,0,5
BOAZ,0,85
BOB,0,320
BOBAN,0,190
BOBBIE,5,0
BOBBY,0,150
BOBI,0,10
BOBO,0,30
BOBY,0,50
BOCAR,0,370
BOCHRA,280,0
BODO,20,10
BOGDAN,0,635
BOGDANA,5,0
BOGUMIL,0,5
BOGUMILA,15,0
BOGUSLAW,0,25
BOGUSLAWA,5,0
BOH,5,0
BOHDAN,0,40
BOHEME,20,0
BOHEMOND,0,5
BOINA,0,5
BOINAIDI,0,5
BOJAN,0,115
BOJANA,30,0
BOJIDAR,0,15
BOKAR,0,25
BOLESLAS,0,180
BOLESLAW,0,665
BOLESLAWA,40,0
BOLESTAW,0,5
BOLO,10,0
BOLTON,0,5
BOMO,5,0
BON,0,5
BONA,0,5
BONAVENTURE,45,385
BONCO,10,0
BONHEUR,10,90
BONIE,10,0
BONIFACE,220,935
BONIFACIO,0,15
BONKO,40,0
BONNAVENTURE,0,5
BONNE,55,0
BONNET,0,40
BONNIE,985,0
BONNY,60,0
BONY,0,10
BOPHA,30,0
BORA,55,120
BORAMY,0,5
BORAN,0,210
BORANE,0,5
BORGIA,5,5
BORHAN,0,15
BORHANE,0,15
BORIS,0,15900
BORISLAV,0,10
BORRIS,0,30
BORTOLO,0,35
BORYS,0,15
BOSCO,0,400
BOSTON,0,110
BOTAN,0,75
BOTHA,0,5
BOUABDALLAH,0,35
BOUABDELLAH,0,85
BOUALAM,0,35
BOUALEM,0,835
BOUAZA,0,5
BOUAZZA,0,50
BOUBA,0,80
BOUBACAR,0,1790
BOUBACARY,0,15
BOUBAKA,0,5
BOUBAKAR,0,600
BOUBAKARI,0,30
BOUBAKARY,0,95
BOUBAKER,0,250
BOUBAKEUR,0,30
BOUBEKER,0,25
BOUBEKEUR,0,5
BOUBKAR,0,5
BOUBKER,0,40
BOUBOU,0,655
BOUCHAIB,0,160
BOUCHARA,40,0
BOUCHERA,155,0
BOUCHRA,2945,0
BOUCHRANE,0,5
BOUCHTA,0,40
BOUCIF,0,130
BOUDALI,0,5
BOUDJEMA,0,95
BOUDJEMAA,0,40
BOUDOUR,10,0
BOUDY,5,0
BOUESSO,5,0
BOUGARY,0,45
BOUHALEM,0,45
BOUHARY,0,15
BOUJEMA,0,5
BOUJEMAA,0,15
BOUJEMAR,0,5
BOUKARY,0,55
BOULAYE,0,150
BOULENOUAR,0,5
BOUMEDIEN,0,10
BOUMEDIENE,0,360
BOUMEDIENNE,0,285
BOUMEDINE,0,5
BOUN,0,10
BOUNA,0,165
BOUNE-YAMINE,0,5
BOUNOUAR,0,5
BOUNTHAVY,0,10
BOUNTOU,15,0
BOUNTOURABY,95,0
BOUNYAMINE,0,5
BOURAMA,0,40
BOURAOUI,0,5
BOURHANE,0,5
BOURHANOUDINE,0,10
BOUSHRA,10,0
BOUSSAD,0,160
BOUSSIF,0,20
BOUTAINA,40,0
BOUTHAINA,40,0
BOUTHAYNA,5,0
BOUTHEINA,10,0
BOUTHIE,5,0
BOUYA,5,0
BOUYAGUI,0,85
BOUZIANE,0,260
BOUZID,0,325
BOUZIDE,0,5
BOWEN,0,10
BOWIE,5,5
BOY,0,10
BOYA,5,0
BOYAN,0,35
BOYE,85,0
BOYI,5,0
BOYKA,0,5
BOZENA,45,0
BOZIDAR,0,10
BRAD,0,540
BRADDY,0,5
BRADELEY,0,5
BRADEN,0,15
BRADFORD,0,5
BRADI,0,10
BRADLAY,0,20
BRADLEY,0,2600
BRADY,0,320
BRADYN,0,10
BRAHA,30,0
BRAHAM,0,40
BRAHEM,0,10
BRAHIM,0,9220
BRAHIMA,0,260
BRAHIME,0,35
BRAHYM,0,5
BRAIAN,0,40
BRAIM,0,5
BRAIMA,0,5
BRAJAN,0,5
BRAKISSA,5,0
BRAM,0,5
BRAN,0,85
BRANCA,10,0
BRANCO,0,5
BRANDA,40,0
BRANDAN,0,15
BRANDO,0,20
BRANDON,0,11160
BRANDONE,0,15
BRANDY,190,80
BRANIS,0,10
BRANISLAV,0,30
BRANISLAVA,5,0
BRANKA,15,0
BRANKICA,5,0
BRANKO,0,90
BRANN,0,45
BRANWEN,5,0
BRAVEN,0,5
BRAXTON,0,10
BRAYAN,0,3920
BRAYANA,10,0
BRAYANE,0,195
BRAYANN,0,190
BRAYANNE,0,5
BRAYDAN,0,5
BRAYDEN,0,245
BRAYDON,0,10
BRAYLON,0,5
BRAYN,0,10
BRAYSON,0,5
BRAYSTON,0,5
BRAYTON,0,340
BRAYTONE,0,5
BREANNE,15,0
BREHIMA,0,20
BRENAN,0,45
BRENDA,4275,0
BRENDAN,0,1705
BRENDANN,0,5
BRENDON,0,405
BRENDY,135,0
BRENN,0,5
BRENNA,5,0
BRENNAN,0,110
BRENT,0,25
BRESIL,80,0
BRETT,0,100
BREVAL,0,15
BREWAL,0,40
BREWAN,0,30
BREWEN,0,485
BREWENN,0,110
BRIAC,0,1645
BRIAG,0,150
BRIAN,0,8120
BRIANA,650,0
BRIAND,0,20
BRIANE,5,0
BRIANNA,675,0
BRIANNE,45,0
BRIANNY,5,0
BRICE,85,28305
BRIDGET,150,0
BRIDGETTE,15,0
BRIEC,0,40
BRIEG,0,265
BRIELLA,35,0
BRIELLE,75,0
BRIEU,0,15
BRIEUC,0,2765
BRIEUX,0,130
BRIGHITTE,5,0
BRIGHT,0,45
BRIGHTON,0,40
BRIGIDA,45,0
BRIGIDE,25,0
BRIGITE,50,0
BRIGITHE,5,0
BRIGITTA,15,0
BRIGITTE,202570,145
BRIGITTE-MARIE,10,0
BRIHANA,45,0
BRIHANNA,50,0
BRILANT,0,5
BRINDA,60,0
BRINDY,5,0
BRISEIS,235,0
BRITANI,10,0
BRITANIE,150,0
BRITANNY,170,0
BRITANY,575,0
BRITHANY,170,0
BRITHNEY,35,0
BRITNEY,385,0
BRITT,25,0
BRITTA,10,0
BRITTANIE,10,0
BRITTANY,655,0
BRIVAEL,0,130
BRIVAELLE,10,0
BRIX,0,15
BRIYANA,30,0
BROCELIANDE,5,0
BRONDON,0,15
BRONIA,5,0
BRONISLAS,0,170
BRONISLAV,0,5
BRONISLAVA,5,0
BRONISLAW,5,575
BRONISLAWA,535,0
BROOK,50,0
BROOKE,255,0
BROOKLIN,5,0
BROOKLYN,280,165
BROOKLYNE,30,0
BROOKLYNN,15,0
BROU,0,5
BROWN,0,5
BRUCE,0,2530
BRUME,15,0
BRUNA,1905,0
BRUNAELLE,5,0
BRUNE,3330,0
BRUNEAU,0,155
BRUNEHILDE,300,0
BRUNEL,0,45
BRUNELLA,280,0
BRUNELLE,145,0
BRUNETTA,20,0
BRUNETTE,250,0
BRUNHILD,5,0
BRUNHILDE,165,0
BRUNILDE,35,0
BRUNISLAW,0,5
BRUNISLAWA,10,0
BRUNISSENDE,5,0
BRUNO,135,220725
BRUNO-MARIE,0,5
BRUNO-PIERRE,0,5
BRUNON,0,20
BRUNOT,0,45
BRUNY,0,30
BRUYERE,10,0
BRYAN,0,25445
BRYANA,365,0
BRYAND,0,5
BRYANE,0,5
BRYANN,0,215
BRYANNA,300,0
BRYANT,0,25
BRYCE,0,445
BRYDEN,0,10
BRYHANA,5,0
BRYHANNA,15,0
BRYNN,5,0
BRYSON,0,10
BRYTANIE,10,0
BRYTHON,0,5
BRYTON,0,140
BTISAM,70,0
BTISAME,45,0
BTISSAM,330,0
BTISSAME,180,0
BTISSEM,70,0
BUCHRA,5,0
BUGLEM,70,0
BUGRA,0,40
BUGSE,5,0
BUKET,55,0
BULENT,0,200
BULLE,75,0
BULUT,0,25
BUN,5,45
BUNA,20,0
BUNYAMIN,0,325
BURAK,0,1080
BURCIN,55,0
BURCU,140,0
BURHAN,0,190
BURHANUDDIN,0,10
BUSE,90,0
BUSHRA,55,0
BUSRA,810,0
BUSRANUR,5,0
BY,0,20
BYLAL,0,25
BYLEL,0,55
BYLLAL,0,5
BYLLEL,0,10
BYLLIE,5,0
BYRON,0,640
CACILDA,5,0
CACILE,5,0
CACILIA,65,0
CACILIE,50,0
CADET,0,25
CADFAEL,0,5
CADIA,10,0
CADWAL,0,10
CAEDEN,0,5
CAEL,0,55
