prenom,n_f,n_m
ABDELMATINE,0,15
ABDELMEJID,0,5
ABDELMJID,0,5
ABDELMOTALIB,0,5
ABDELMOTTALIB,0,5
ABDELMOULA,0,10
ABDELMOUMEN,0,70
ABDELMOUMENE,0,5
ABDELMOUMINE,0,5
ABDELMOUNAIM,0,25
ABDELMOUNIM,0,5
ABDELNABI,0,5
ABDELNACER,0,65
ABDELNASSER,0,140
ABDELNOR,0,55
ABDELNOUR,0,250
ABDELOIHAB,0,5
ABDELOIHAD,0,10
ABDELOUAB,0,30
ABDELOUAHAB,0,220
ABDELOUAHAD,0,10
ABDELOUAHEB,0,5
ABDELOUAHED,0,85
ABDELOUAHID,0,30
ABDELOUHAB,0,80
ABDELRAFIK,0,5
ABDELRAHIM,0,370
ABDELRAHMAN,0,525
ABDELRAHMANE,0,390
ABDELRAHMEN,0,85
ABDELRAHMENE,0,5
ABDELRAHNI,0,5
ABDELRAMANE,0,5
ABDELRANI,0,275
ABDELRAOUF,0,80
ABDELRAZAK,0,65
ABDELRAZEK,0,10
ABDELREZAK,0,30
ABDELRHANI,0,20
ABDELRRAHIM,0,5
ABDELSALAM,0,5
ABDELSALEM,0,35
ABDELSAMAD,0,120
ABDELSAMED,0,5
ABDELSLAM,0,5
ABDELSSAMAD,0,10
ABDELTIF,0,125
ABDELWAB,0,5
ABDELWADOUD,0,35
ABDELWAHAB,0,310
ABDELWAHAD,0,10
ABDELWAHEB,0,45
ABDELWAHED,0,25
ABDELWAHHAB,0,5
ABDELWAHID,0,90
ABDELWAKIL,0,45
ABDENABI,0,20
ABDENACER,0,10
ABDENASSER,0,65
ABDENBI,0,105
ABDENNABI,0,5
ABDENNASSER,0,5
ABDENNOUR,0,220
ABDENOR,0,75
ABDENOUR,0,455
ABDER-RAHMAN,0,5
ABDERAHIM,0,340
ABDERAHIME,0,15
ABDERAHMAN,0,560
ABDERAHMANE,0,760
ABDERAHMEN,0,80
ABDERAHMENE,0,15
ABDERAMAN,0,10
ABDERAMANE,0,25
ABDERAOUF,0,20
ABDERAZAK,0,90
ABDERAZZAK,0,5
ABDEREMANE,0,45
ABDEREZAK,0,30
ABDERHAMAN,0,5
ABDERHAMANE,0,100
ABDERRAHIM,0,780
ABDERRAHIME,0,20
ABDERRAHMAN,0,890
ABDERRAHMANE,0,2030
ABDERRAHMEN,0,100
ABDERRAHMENE,0,15
ABDERRAMAN,0,10
ABDERRAMANE,0,5
ABDERRAOUF,0,45
ABDERRAZAK,0,230
ABDERREZAK,0,20
ABDERRHAMAN,0,5
ABDERRHAMANE,0,30
ABDERZAK,0,15
ABDERZEK,0,5
ABDESALAM,0,5
ABDESAMAD,0,50
ABDESLAM,0,350
ABDESLEM,0,130
ABDESSALAM,0,100
ABDESSALEM,0,105
ABDESSAMAD,0,800
ABDESSAMADE,0,45
ABDESSAMED,0,30
ABDESSATAR,0,5
ABDESSELAM,0,55
ABDESSELEM,0,50
ABDESSLAM,0,75
ABDESSLEM,0,15
ABDI,0,15
ABDIAS,0,45
ABDIEL,0,5
ABDIL,0,20
ABDILLAH,0,120
ABDILLAHI,0,20
ABDIRAHMAN,0,35
ABDNOUR,0,10
ABDO,0,5
ABDOLLAH,0,45
ABDON,70,760
ABDONIE,20,0
ABDONISE,10,0
ABDOOL,0,10
ABDOU,0,1315
ABDOU-AZIZ,0,35
ABDOU-KARIM,0,35
ABDOU-RAHIM,0,10
ABDOU-RAHMAN,0,30
ABDOU-RAHMANE,0,10
ABDOU-ROIHMANE,0,5
ABDOU-SALAM,0,20
ABDOUALLAH,0,20
ABDOUKARIM,0,15
ABDOUL,0,2010
ABDOUL-ANZIZ,0,50
ABDOUL-ANZIZE,0,5
ABDOUL-AZIZ,0,255
ABDOUL-FATAH,0,5
ABDOUL-HAKIM,0,10
ABDOUL-HALIM,0,10
ABDOUL-HAMID,0,15
ABDOUL-KADER,0,55
ABDOUL-KARIM,0,265
ABDOUL-LATIF,0,5
ABDOUL-MADJID,0,15
ABDOUL-MALIK,0,80
ABDOUL-RAHIM,0,20
ABDOUL-RAHMAN,0,5
ABDOUL-RAHMANE,0,5
ABDOUL-RAZAK,0,10
ABDOUL-SALAM,0,5
ABDOUL-WAHAB,0,20
ABDOULA,0,25
ABDOULAH,0,155
ABDOULAHI,0,15
ABDOULAI,0,10
ABDOULATIF,0,10
ABDOULATUF,0,5
ABDOULAY,0,115
ABDOULAYE,0,4700
ABDOULAZIZ,0,50
ABDOULFATAH,0,10
ABDOULHADRE,0,5
ABDOULHADRY,0,5
ABDOULHAKIM,0,25
ABDOULHALIM,0,10
ABDOULHAMID,0,10
ABDOULKADER,0,30
ABDOULKARIM,0,135
ABDOULLA,0,15
ABDOULLAH,0,950
ABDOULLAHI,0,10
ABDOULLAYE,0,5
ABDOULMALIK,0,15
ABDOULRAHIM,0,10
ABDOULWAHAB,0,15
ABDOURAHAMANE,0,100
ABDOURAHIM,0,70
ABDOURAHMAN,0,135
ABDOURAHMANE,0,465
ABDOURAMANE,0,20
ABDOURAOUF,0,10
ABDOURAZAK,0,10
ABDOUROIHAMANE,0,45
ABDOURRAHMAN,0,40
ABDOURRAHMANE,0,45
ABDOURRAHMEN,0,5
ABDOUSALAM,0,5
ABDRAHAMANE,0,80
ABDRAHIM,0,35
ABDRAHMAN,0,85
ABDRAHMANE,0,80
ABDRAMANE,0,215
ABDRAZAK,0,5
ABDSAMAD,0,70
