ags,name,land,lat,long
14627060,Großenhain,Sachsen,51.3237177055733,13.523043597005133
14627250,Schönfeld,Sachsen,51.32598534428104,13.73891175621467
15081135,Gardelegen,Sachsen-Anhalt,52.50994260681019,11.364554351908978
15083485,Sommersdorf,Sachsen-Anhalt,52.17594774067442,11.099610493182722
15084315,Lützen,Sachsen-Anhalt,51.223052017896364,12.110267941283299
15084132,Finne,Sachsen-Anhalt,51.21382466167718,11.433172501142858
15084565,Wetterzeube,Sachsen-Anhalt,51.00173557447631,12.041880540886924
15086080,Jerichow,Sachsen-Anhalt,52.44814828394488,12.166964797850111
15087101,Brücken-Hackpfüffel,Sachsen-Anhalt,51.429720529690336,11.192596006021585
16051000,Erfurt,Thüringen,50.9832500388932,11.020221507963768
16061048,Hohengandern,Thüringen,51.36664945725185,9.946942144784071
16061049,Hohes Kreuz,Thüringen,51.4151728879755,10.104423597909966
16061085,Schwobfeld,Thüringen,51.28859743264627,10.087449308796444
16062054,Urbach,Thüringen,51.48840600807526,10.91792434629176
16063028,Frankenroda,Thüringen,51.10191198557512,10.291322364832869
16063015,Dermbach,Thüringen,50.729381741463854,10.123740556786137
16064038,Kutzleben,Thüringen,51.1978589424975,10.880431918993205
16064019,Großvargula,Thüringen,51.11568189015087,10.775353651883957
16066047,Oberhof,Thüringen,50.70460906254616,10.717173367187698
16066005,Belrieth,Thüringen,50.53773064044211,10.499525678521296
16067009,Dachwig,Thüringen,51.080145679792814,10.861325061763461
16068034,Kölleda,Thüringen,51.21798710595304,11.274088070319507
16068036,Markvippach,Thüringen,51.07451243823476,11.180803180011338
16070006,Bösleben-Wüllersleben,Thüringen,50.81538344337578,11.067687221770438
16073111,Unterwellenborn,Thüringen,50.6635893410926,11.45127751476337
16073035,Hohenwarte,Thüringen,50.607485844902975,11.493373584950664
16074052,Lindig,Thüringen,50.78916082687754,11.615715227751867
16075062,Bad Lobenstein,Thüringen,50.45045270525135,11.63351480109685
16075109,Tegau,Thüringen,50.64999433666432,11.870146487978174
16075006,Bodelwitz,Thüringen,50.68137731706341,11.622755745931007
16076041,Langenwolschendorf,Thüringen,50.63436696519503,11.947617278845186
01002000,Kiel,Schleswig-Holstein,54.324773248390564,10.132517593630558
01051076,Neufeld,Schleswig-Holstein,53.922762557420604,9.028611891456206
01051134,Windbergen,Schleswig-Holstein,54.04309127248235,9.12713946796887
01051138,Tensbüttel-Röst,Schleswig-Holstein,54.112147367078144,9.239205131067747
01053013,Borstorf,Schleswig-Holstein,53.60908314462342,10.552654986963274
01053019,Buchhorst,Schleswig-Holstein,53.391738871715994,10.569391822293133
01053074,Krukow,Schleswig-Holstein,53.41812837883802,10.47839243804637
01054011,Behrendorf,Schleswig-Holstein,54.56310579665503,9.229155553427947
01055028,Malente,Schleswig-Holstein,54.18780460762794,10.573589855548157
01057059,Postfeld,Schleswig-Holstein,54.2034019387566,10.202374416394752
01057088,Wisch,Schleswig-Holstein,54.41962161965841,10.343685995719314
01058150,Schwedeneck,Schleswig-Holstein,54.46325573039092,10.085681795593839
01058091,Krogaspe,Schleswig-Holstein,54.12555518816472,9.929021059696234
01058061,Gokels,Schleswig-Holstein,54.10959000542806,9.465958100588287
01058131,Rade b.Hohenwestedt,Schleswig-Holstein,54.102229046591916,9.722311038888732
01058159,Tappendorf,Schleswig-Holstein,54.10213739763242,9.694567644528068
01059120,Harrislee,Schleswig-Holstein,54.811729661251626,9.383286425433756
01059115,Großenwiehe,Schleswig-Holstein,54.70294055155284,9.262945005398517
01060099,Wiemersdorf,Schleswig-Holstein,53.9621358020734,9.91337875980793
